frame.number,frame.time,zbee_nwk.frame_type,zbee_nwk.radius,zbee_nwk.dst,data.len
"177","Feb 25, 2020 19:30:52.005172000 PST","0x00000001","30","0x00000000",
"178","Feb 25, 2020 19:30:52.005709000 PST",,,,
"179","Feb 25, 2020 19:30:52.047010000 PST","0x00000000","30","0x00000000",
"180","Feb 25, 2020 19:30:52.047547000 PST",,,,
"181","Feb 25, 2020 19:30:52.051725000 PST","0x00000000","30","0x00000000",
"182","Feb 25, 2020 19:30:52.052268000 PST",,,,
"183","Feb 25, 2020 19:30:52.055533000 PST","0x00000000","30","0x0000fb91",
"184","Feb 25, 2020 19:30:52.056075000 PST",,,,
"185","Feb 25, 2020 19:30:52.619910000 PST","0x00000000","30","0x0000fffc",
"186","Feb 25, 2020 19:30:52.628800000 PST","0x00000000","29","0x0000fffc",
"187","Feb 25, 2020 19:30:53.063949000 PST","0x00000000","30","0x0000fffc",
"188","Feb 25, 2020 19:30:53.196439000 PST","0x00000001","1","0x0000fffc",
"189","Feb 25, 2020 19:30:53.509257000 PST","0x00000000","30","0x0000fffc",
"190","Feb 25, 2020 19:30:53.919040000 PST","0x00000000","30","0x0000fb91",
"191","Feb 25, 2020 19:30:53.919531000 PST",,,,
"192","Feb 25, 2020 19:30:53.926157000 PST","0x00000001","30","0x00000000",
"193","Feb 25, 2020 19:30:53.926747000 PST",,,,
"194","Feb 25, 2020 19:30:53.930879000 PST","0x00000001","30","0x00000000",
"195","Feb 25, 2020 19:30:53.931420000 PST",,,,
"196","Feb 25, 2020 19:30:53.972890000 PST","0x00000000","30","0x00000000",
"197","Feb 25, 2020 19:30:53.973468000 PST",,,,
"198","Feb 25, 2020 19:30:53.977245000 PST","0x00000000","30","0x00000000",
"199","Feb 25, 2020 19:30:53.977789000 PST",,,,
"200","Feb 25, 2020 19:30:53.981328000 PST","0x00000000","30","0x0000fb91",
"201","Feb 25, 2020 19:30:53.981873000 PST",,,,
"202","Feb 25, 2020 19:30:54.640817000 PST","0x00000000","30","0x0000fffc",
"203","Feb 25, 2020 19:30:54.683832000 PST","0x00000000","29","0x0000fffc",
"204","Feb 25, 2020 19:30:55.132046000 PST","0x00000000","30","0x0000fffc",
"205","Feb 25, 2020 19:30:55.479122000 PST","0x00000000","30","0x0000fffc",
"206","Feb 25, 2020 19:30:55.489233000 PST","0x00000000","29","0x0000fffc",
"207","Feb 25, 2020 19:30:55.577532000 PST","0x00000000","30","0x0000fffc",
"208","Feb 25, 2020 19:30:55.925291000 PST",,,,
"209","Feb 25, 2020 19:30:55.930460000 PST","0x00000001","30","0x00000000",
"210","Feb 25, 2020 19:30:55.931003000 PST",,,,
"211","Feb 25, 2020 19:30:55.934905000 PST","0x00000001","30","0x00000000",
"212","Feb 25, 2020 19:30:55.935449000 PST",,,,
"213","Feb 25, 2020 19:30:55.974476000 PST","0x00000000","30","0x0000fffc",
"214","Feb 25, 2020 19:30:55.979373000 PST","0x00000000","30","0x00000000",
"215","Feb 25, 2020 19:30:55.979915000 PST",,,,
"216","Feb 25, 2020 19:30:55.984728000 PST","0x00000000","30","0x00000000",
"217","Feb 25, 2020 19:30:55.985268000 PST",,,,
"218","Feb 25, 2020 19:30:55.988083000 PST","0x00000000","30","0x0000fb91",
"219","Feb 25, 2020 19:30:55.988628000 PST",,,,
"220","Feb 25, 2020 19:30:56.468886000 PST","0x00000000","30","0x0000fffc",
"221","Feb 25, 2020 19:30:56.987150000 PST","0x00000001","1","0x0000fffc",
"222","Feb 25, 2020 19:30:57.934587000 PST","0x00000000","30","0x0000fb91",
"223","Feb 25, 2020 19:30:57.935123000 PST",,,,
"224","Feb 25, 2020 19:30:57.942290000 PST","0x00000001","30","0x00000000",
"225","Feb 25, 2020 19:30:57.942834000 PST",,,,
"226","Feb 25, 2020 19:30:57.947647000 PST","0x00000001","30","0x00000000",
"227","Feb 25, 2020 19:30:57.948191000 PST",,,,
"228","Feb 25, 2020 19:30:57.989938000 PST","0x00000000","30","0x00000000",
"229","Feb 25, 2020 19:30:57.990479000 PST",,,,
"230","Feb 25, 2020 19:30:57.994655000 PST","0x00000000","30","0x00000000",
"231","Feb 25, 2020 19:30:57.995197000 PST",,,,
"232","Feb 25, 2020 19:30:57.999652000 PST","0x00000000","30","0x0000fb91",
"233","Feb 25, 2020 19:30:58.000243000 PST",,,,
"234","Feb 25, 2020 19:30:58.026650000 PST","0x00000000","30","0x0000fb91",
"235","Feb 25, 2020 19:30:58.027144000 PST",,,,
"236","Feb 25, 2020 19:30:58.033313000 PST","0x00000001","30","0x00000000",
"237","Feb 25, 2020 19:30:58.033856000 PST",,,,
"238","Feb 25, 2020 19:30:58.080439000 PST","0x00000000","30","0x00000000",
"239","Feb 25, 2020 19:30:58.081003000 PST",,,,
"240","Feb 25, 2020 19:30:59.732329000 PST","0x00000001","1","0x0000fffc",
"241","Feb 25, 2020 19:30:59.934525000 PST","0x00000000","30","0x0000fb91",
"242","Feb 25, 2020 19:30:59.935065000 PST",,,,
"243","Feb 25, 2020 19:30:59.941872000 PST","0x00000001","30","0x00000000",
"244","Feb 25, 2020 19:30:59.942417000 PST",,,,
"245","Feb 25, 2020 19:30:59.946314000 PST","0x00000001","30","0x00000000",
"246","Feb 25, 2020 19:30:59.946857000 PST",,,,
"247","Feb 25, 2020 19:30:59.989424000 PST","0x00000000","30","0x00000000",
"248","Feb 25, 2020 19:30:59.989965000 PST",,,,
"249","Feb 25, 2020 19:30:59.994321000 PST","0x00000000","30","0x00000000",
"250","Feb 25, 2020 19:30:59.994865000 PST",,,,
"251","Feb 25, 2020 19:30:59.997768000 PST","0x00000000","30","0x0000fb91",
"252","Feb 25, 2020 19:30:59.998313000 PST",,,,
"253","Feb 25, 2020 19:31:01.508548000 PST","0x00000001","1","0x0000fffc",
"254","Feb 25, 2020 19:31:01.946083000 PST","0x00000000","30","0x0000fb91",
"255","Feb 25, 2020 19:31:01.946677000 PST",,,,
"256","Feb 25, 2020 19:31:01.954068000 PST","0x00000001","30","0x00000000",
"257","Feb 25, 2020 19:31:01.954611000 PST",,,,
"258","Feb 25, 2020 19:31:01.957875000 PST","0x00000001","30","0x00000000",
"259","Feb 25, 2020 19:31:01.958419000 PST",,,,
"260","Feb 25, 2020 19:31:01.986466000 PST","0x00000001","30","0x0000fffc",
"261","Feb 25, 2020 19:31:02.001625000 PST","0x00000000","30","0x00000000",
"262","Feb 25, 2020 19:31:02.002168000 PST",,,,
"263","Feb 25, 2020 19:31:02.006337000 PST","0x00000000","30","0x00000000",
"264","Feb 25, 2020 19:31:02.006975000 PST",,,,
"265","Feb 25, 2020 19:31:02.013054000 PST","0x00000000","30","0x0000fb91",
"266","Feb 25, 2020 19:31:02.013598000 PST",,,,
"267","Feb 25, 2020 19:31:02.037468000 PST","0x00000000","30","0x0000fb91",
"268","Feb 25, 2020 19:31:02.038008000 PST",,,,
"269","Feb 25, 2020 19:31:02.043551000 PST","0x00000001","30","0x00000000",
"270","Feb 25, 2020 19:31:02.044090000 PST",,,,
"271","Feb 25, 2020 19:31:02.060516000 PST","0x00000001","29","0x0000fffc",
"272","Feb 25, 2020 19:31:02.090828000 PST","0x00000000","30","0x00000000",
"273","Feb 25, 2020 19:31:02.091370000 PST",,,,
"274","Feb 25, 2020 19:31:02.245466000 PST","0x00000001","30","0x0000fffc",
"275","Feb 25, 2020 19:31:02.373971000 PST","0x00000001","29","0x0000fffc",
"276","Feb 25, 2020 19:31:02.507097000 PST","0x00000001","30","0x0000fffc",
"277","Feb 25, 2020 19:31:02.760701000 PST","0x00000001","29","0x0000fffc",
"278","Feb 25, 2020 19:31:02.777171000 PST","0x00000001","30","0x0000fffc",
"279","Feb 25, 2020 19:31:16.319223000 PST","0x00000001","1","0x0000fffc",
"280","Feb 25, 2020 19:31:16.776691000 PST","0x00000000","30","0x0000fb91",
"281","Feb 25, 2020 19:31:16.777276000 PST",,,,
"282","Feb 25, 2020 19:31:16.792841000 PST","0x00000001","30","0x00000000",
"283","Feb 25, 2020 19:31:16.793382000 PST",,,,
"284","Feb 25, 2020 19:31:16.798284000 PST","0x00000000","30","0x00000000",
"285","Feb 25, 2020 19:31:16.798827000 PST",,,,
"286","Feb 25, 2020 19:31:16.802687000 PST","0x00000000","30","0x00000000",
"287","Feb 25, 2020 19:31:16.803182000 PST",,,,
"288","Feb 25, 2020 19:31:16.810625000 PST","0x00000000","30","0x0000fb91",
"289","Feb 25, 2020 19:31:16.811169000 PST",,,,
"290","Feb 25, 2020 19:31:16.833405000 PST","0x00000000","30","0x00000000",
"291","Feb 25, 2020 19:31:16.833946000 PST",,,,
"292","Feb 25, 2020 19:31:16.841208000 PST","0x00000000","30","0x0000fb91",
"293","Feb 25, 2020 19:31:16.841754000 PST",,,,
"294","Feb 25, 2020 19:31:16.864441000 PST","0x00000000","30","0x0000fb91",
"295","Feb 25, 2020 19:31:16.864983000 PST",,,,
"296","Feb 25, 2020 19:31:16.870435000 PST","0x00000000","30","0x00000000",
"297","Feb 25, 2020 19:31:16.871023000 PST",,,,
"298","Feb 25, 2020 19:31:17.466751000 PST","0x00000001","1","0x0000fffc",
"299","Feb 25, 2020 19:31:21.602493000 PST","0x00000000","30","0x0000fb91",
"300","Feb 25, 2020 19:31:21.603126000 PST",,,,
"301","Feb 25, 2020 19:31:21.620005000 PST","0x00000000","30","0x00000000",
"302","Feb 25, 2020 19:31:21.620544000 PST",,,,
"303","Feb 25, 2020 19:31:21.623451000 PST","0x00000000","30","0x00000000",
"304","Feb 25, 2020 19:31:21.623993000 PST",,,,
"305","Feb 25, 2020 19:31:21.627444000 PST","0x00000000","30","0x00000000",
"306","Feb 25, 2020 19:31:21.627987000 PST",,,,
"307","Feb 25, 2020 19:31:21.630981000 PST",,,,
"308","Feb 25, 2020 19:31:21.635523000 PST","0x00000000","30","0x00000000",
"309","Feb 25, 2020 19:31:21.636067000 PST",,,,
"310","Feb 25, 2020 19:31:21.641237000 PST","0x00000000","30","0x0000fb91",
"311","Feb 25, 2020 19:31:21.641781000 PST",,,,
"312","Feb 25, 2020 19:31:21.646318000 PST","0x00000000","30","0x0000fb91",
"313","Feb 25, 2020 19:31:21.646864000 PST",,,,
"314","Feb 25, 2020 19:31:21.666283000 PST","0x00000000","30","0x0000fb91",
"315","Feb 25, 2020 19:31:21.666829000 PST",,,,
"316","Feb 25, 2020 19:31:21.672184000 PST","0x00000000","30","0x00000000",
"317","Feb 25, 2020 19:31:21.672727000 PST",,,,
"318","Feb 25, 2020 19:31:21.704128000 PST","0x00000000","30","0x0000fb91",
"319","Feb 25, 2020 19:31:21.704672000 PST",,,,
"320","Feb 25, 2020 19:31:21.710395000 PST","0x00000000","30","0x00000000",
"321","Feb 25, 2020 19:31:21.710933000 PST",,,,
"322","Feb 25, 2020 19:31:28.230405000 PST","0x00000000","30","0x0000fb91",
"323","Feb 25, 2020 19:31:28.230948000 PST",,,,
"324","Feb 25, 2020 19:31:28.247283000 PST","0x00000000","30","0x00000000",
"325","Feb 25, 2020 19:31:28.247825000 PST",,,,
"326","Feb 25, 2020 19:31:28.251728000 PST","0x00000000","30","0x00000000",
"327","Feb 25, 2020 19:31:28.252274000 PST",,,,
"328","Feb 25, 2020 19:31:28.254541000 PST","0x00000000","30","0x0000fb91",
"329","Feb 25, 2020 19:31:28.255086000 PST",,,,
"330","Feb 25, 2020 19:31:28.258540000 PST","0x00000000","30","0x00000000",
"331","Feb 25, 2020 19:31:28.259080000 PST",,,,
"332","Feb 25, 2020 19:31:28.263618000 PST","0x00000000","30","0x00000000",
"333","Feb 25, 2020 19:31:28.264159000 PST",,,,
"334","Feb 25, 2020 19:31:28.267244000 PST","0x00000000","30","0x0000fb91",
"335","Feb 25, 2020 19:31:28.267788000 PST",,,,
"336","Feb 25, 2020 19:31:28.272603000 PST","0x00000000","30","0x0000fb91",
"337","Feb 25, 2020 19:31:28.273145000 PST",,,,
"338","Feb 25, 2020 19:31:28.293294000 PST","0x00000000","30","0x0000fb91",
"339","Feb 25, 2020 19:31:28.293836000 PST",,,,
"340","Feb 25, 2020 19:31:28.300552000 PST","0x00000000","30","0x00000000",
"341","Feb 25, 2020 19:31:28.301097000 PST",,,,
"342","Feb 25, 2020 19:31:28.331593000 PST","0x00000000","30","0x0000fb91",
"343","Feb 25, 2020 19:31:28.332136000 PST",,,,
"344","Feb 25, 2020 19:31:28.338577000 PST","0x00000000","30","0x00000000",
"345","Feb 25, 2020 19:31:28.339121000 PST",,,,
"346","Feb 25, 2020 19:31:32.082372000 PST","0x00000001","1","0x0000fffc",
"347","Feb 25, 2020 19:31:32.642840000 PST","0x00000001","1","0x0000fffc",
"348","Feb 25, 2020 19:31:48.706188000 PST","0x00000001","1","0x0000fffc",
"349","Feb 25, 2020 19:31:49.268027000 PST","0x00000001","1","0x0000fffc",
"350","Feb 25, 2020 19:31:54.632244000 PST","0x00000000","30","0x0000fb91",
"351","Feb 25, 2020 19:31:54.632788000 PST",,,,
"352","Feb 25, 2020 19:31:54.637504000 PST","0x00000000","30","0x00000000",
"353","Feb 25, 2020 19:31:54.638046000 PST",,,,
"354","Feb 25, 2020 19:31:54.640859000 PST","0x00000001","1","0x0000fffd",
"355","Feb 25, 2020 19:31:54.645582000 PST","0x00000000","30","0x00000000",
"356","Feb 25, 2020 19:31:54.646126000 PST",,,,
"357","Feb 25, 2020 19:31:54.648303000 PST","0x00000000","30","0x0000fb91",
"358","Feb 25, 2020 19:31:54.648846000 PST",,,,
"359","Feb 25, 2020 19:31:55.101786000 PST","0x00000001","1","0x0000fffd",
"360","Feb 25, 2020 19:31:55.608624000 PST","0x00000001","1","0x0000fffd",
"361","Feb 25, 2020 19:32:02.039082000 PST","0x00000001","30","0x0000fffc",
"362","Feb 25, 2020 19:32:02.360774000 PST","0x00000001","30","0x0000fffc",
"363","Feb 25, 2020 19:32:02.676123000 PST","0x00000001","30","0x0000fffc",
"364","Feb 25, 2020 19:32:03.015229000 PST","0x00000001","30","0x0000fffc",
"365","Feb 25, 2020 19:32:06.023301000 PST","0x00000001","1","0x0000fffc",
"366","Feb 25, 2020 19:32:38.573118000 PST","0x00000001","1","0x0000fffc",
"367","Feb 25, 2020 19:32:52.903102000 PST","0x00000001","1","0x0000fffc",
"368","Feb 25, 2020 19:33:02.087615000 PST","0x00000001","30","0x0000fffc",
"369","Feb 25, 2020 19:33:02.377014000 PST","0x00000001","30","0x0000fffc",
"370","Feb 25, 2020 19:33:02.661698000 PST","0x00000001","30","0x0000fffc",
"371","Feb 25, 2020 19:33:03.008721000 PST","0x00000001","30","0x0000fffc",
"372","Feb 25, 2020 19:33:08.472412000 PST","0x00000001","1","0x0000fffc",
"373","Feb 25, 2020 19:33:18.641244000 PST","0x00000000","30","0x0000fffc",
